Nume,Prenume,Specialitate
COPAESCU,CATALIN,CHIRURGIE GENERALA
BRATILA,PETRE CORNEL,GINECOLOGIE
RAHIMIAN,HADI,GINECOLOGIE
PREDESCU,VLAD,ORTOPEDIE 
SURLEA,VERONICA,PNEUMOLOGIE
SCHEINER,MIHAELA,NEONATOLOGIE
ULMEANU,DAN,CHIRURGIE GENERALA
TOMULESCU,VICTOR,CHIRURGIE GENERALA
SAFTA,DANA,ORL
TURCU,FLORIN,CHIRURGIE GENERALA
BARTA,CRISTIAN BOGDAN,CHIRURGIE GENERALA
GODOROJA,DANIELA,ANESTEZIE SI TERAPIE INTENSIVA
BORDAS,DANIEL,GINECOLOGIE
OPRISIU,CARMEN,PEDIATRIE
CRISTESCU,MIHAI ADRIAN,NEUROCHIRURGIE
BARUS,JANINA,NEONATOLOGIE
NITA,GHEORGHE,UROLOGIE
GRIGORUTA,SIMONA,GASTROENTEROLOGIE
DANTZER,DIANA,ALERGOLOGIE SI IMUNOLOGIE
ANCA,ALEXANDRU,GINECOLOGIE
NICOLAE,GABRIEL,GINECOLOGIE
CODITA,IONELA,NEUROLOGIE
GHERMAN,ADRIANA,MEDICINA DE FAMILIE
STANCA,IONUT,CARDIOLOGIE
GENUNCHE,AMELIA,MEDICINA INTERNA
CRACIUN,ALINA,GINECOLOGIE
SZATMARI,JUDIT,OFTALMOLOGIE
BRAGARU,RADU STEFANIA,NUTRITIE SI BOLI METABOLICE
STEFANUT,CLAUDIA,OFTALMOLOGIE
SECARA,DIANA CRISTINA,GINECOLOGIE
RUSU,ELENA GEORGIANA,NUTRITIE SI BOLI METABOLICE
ALBEAN,DANIELA,ENDOCRINOLOGIE
FLESERIU,CARMEN,MEDICINA DE FAMILIE
EDGHIUN,ISMAIL,MEDICINA DE FAMILIE
NITOIU,CONSTANTIN,UROLOGIE
BALASA,DANIELA,GINECOLOGIE
STANESCU,GEORGETA,HEMATOLOGIE
DUSMANU,ALINA,GINECOLOGIE
POPESCU,ILEANA,MEDICINA DE FAMILIE
COZMA,DRAGOS,CARDIOLOGIE
BUZATEL,ROXANA,DERMATOVENEROLOGIE
TANASE,IONUT,ORTOPEDIE 
NEAGU,ANA MARIA,HEMATOLOGIE
PALADE,CRISTIAN,NEONATOLOGIE
CORBU,ANA,NEUROLOGIE
MORNOS,CRISTIAN,CARDIOLOGIE
MOGOS,ANTONIA,PNEUMOLOGIE
MOROSANU,ARITINA,PEDIATRIE
SOROHAN,LIVIA,PEDIATRIE
BUCUR,MIRCEA,DERMATOVENEROLOGIE
STANCIU,CARMEN,PSIHOLOGIE
TOROK,BARNA,ORTOPEDIE 
IONESCU,LIGIA,GINECOLOGIE
POPESCU,ELENA,BOLI INFECTIOASE
BUTUZA,CRISTINA,GINECOLOGIE
STOIAN,IOANA,CARDIOLOGIE
SAI,CLAUDIA,GINECOLOGIE
PACU,IRINA,GINECOLOGIE
CERNAT,MATEI,PSIHOLOGIE
MAN,SORIN,PEDIATRIE
DINCA,FLORIN,OFTALMOLOGIE
PUSCASU,CATALINA,MEDICINA DE FAMILIE
PATPAIAC,TEODOR,ORTOPEDIE 
ADINA,PLOTOGEA VADANUTA,GINECOLOGIE
GONGU,MIRCEA,ONCOLOGIE MEDICALA
LAPUSAN,CARMEN,UROLOGIE
FORTOFOIU,MARIA,CARDIOLOGIE
URSU,ANCA,DERMATOVENEROLOGIE
RADU,NICOLETA,GINECOLOGIE
ERHAN,IONELA,PNEUMOLOGIE
BULBOACA,ADRIANA,OFTALMOLOGIE
LEVAI,ANTONIA,GINECOLOGIE
ZUGRAVU,ADRIAN,NEFROLOGIE
BUTU,LELIA,MEDICINA DE FAMILIE
